MT-TF ENSG00000210049
SRD5A3 ENSG00000128039
IGHVIII-67-2 ENSG00000254036
KRTAP1-1 ENSG00000262808
GPR53P ENSG00000234992
IGHVIII-67-3 ENSG00000253635
SUMO2P1 ENSG00000235666
TUBB4A ENSG00000104833
HLA-E ENSG00000230254
ZNF259P1 ENSG00000219565
KRTAP2-1 ENSG00000261852
TAMM41 ENSG00000279643
CT47A9 ENSG00000226600
SLC6A11 ENSG00000132164
ARMH3 ENSG00000120029
CCR8 ENSG00000179934
MBD3L4 ENSG00000205718
RNF103-CHMP3 ENSG00000249884
LDLRAD3 ENSG00000179241
LENG8 ENSG00000276458
KRTAP2-3 ENSG00000262862
MBD3L2 ENSG00000230522
CHMP3 ENSG00000115561
SRD5A3-AS1 ENSG00000249700
AMTN ENSG00000187689
EEF1A1P24 ENSG00000223668
SPACA7 ENSG00000153498
FCF1P8 ENSG00000251111
DEFB127 ENSG00000088782
SLC25A38 ENSG00000144659
OR1F12 ENSG00000220721
OR2B7P ENSG00000187763
RPL12P31 ENSG00000241228
DEFB128 ENSG00000185982
BTF3L4P2 ENSG00000213189
NSG2 ENSG00000170091
TANC1 ENSG00000115183
UBL7 ENSG00000138629
SPATA25 ENSG00000149634
OR2B8P ENSG00000182477
ZSCAN12P1 ENSG00000219891
DHFRP2 ENSG00000236851
ZSCAN16 ENSG00000196812
SAPCD1 ENSG00000228727
OPRL1 ENSG00000277044
FLRT1 ENSG00000126500
OR2W2P ENSG00000217315
ZNF602P ENSG00000219392
ZNF165 ENSG00000197279
BCL11A ENSG00000119866
TIMM22 ENSG00000177370
MACROD1 ENSG00000133315
RPS9 ENSG00000274646
FABP7P2 ENSG00000235129
RAF1P1 ENSG00000250040
TRBV6-7 ENSG00000253188
MSH5-SAPCD1 ENSG00000255152
TMED3 ENSG00000166557
ABR ENSG00000159842
KRT18P17 ENSG00000213943
TRBV7-6 ENSG00000211727
HNRNPA1P21 ENSG00000228168
ZSCAN16-AS1 ENSG00000269293
IGHVIII-67-4 ENSG00000254052
IGHV1-68 ENSG00000253703
TRBV5-6 ENSG00000211728
B4GALT1-AS1 ENSG00000233554
COMMD4 ENSG00000140365
TRBV6-8 ENSG00000253534
ALDH3B2 ENSG00000132746
KRTAP2-4 ENSG00000263091
TRBV7-7 ENSG00000253291
LENG9 ENSG00000278312
B4GALT1 ENSG00000086062
LINC01259 ENSG00000249667
TRBV5-7 ENSG00000211731
KRTAP2-5P ENSG00000262376
TRBV7-9 ENSG00000278030
LINC01258 ENSG00000249534
DENND4C ENSG00000137145
LINC02569 ENSG00000232523
LINC02278 ENSG00000251635
CALR ENSG00000179218
TRBV13 ENSG00000276405
FAM224B ENSG00000230663
TRBV10-3 ENSG00000275791
ZMYND11 ENSG00000015171
CLUHP1 ENSG00000238191
PNCK ENSG00000130822
PDCD6IPP1 ENSG00000275325
TRBV11-3 ENSG00000276597
TAF9P1 ENSG00000226353
TRBV12-3 ENSG00000274752
ST13P13 ENSG00000229256
MINAR1 ENSG00000169330
TRBV12-4 ENSG00000276953
HNRNPA0 ENSG00000177733
MARCO ENSG00000019169
RPEL1 ENSG00000235376
PITPNA-AS1 ENSG00000236618
GSTM3P2 ENSG00000226878
DENND11 ENSG00000262599
GUCY2EP ENSG00000204529
TRBV12-5 ENSG00000275158
CDKL1 ENSG00000100490
IL15RA ENSG00000134470
TRBV14 ENSG00000275743
PITPNA ENSG00000174238
TRBV15 ENSG00000276819
COX8A ENSG00000176340
CDY5P ENSG00000226449
LINC02321 ENSG00000258884
TXNP7 ENSG00000217268
TRBV16 ENSG00000275243
PCSK7 ENSG00000160613
TRBV17 ENSG00000277880
INA ENSG00000148798
PNLIPRP1 ENSG00000187021
MOAP1 ENSG00000165943
AGK ENSG00000262327
IGHV1-69 ENSG00000211973
MUC12 ENSG00000205277
KCTD9P1 ENSG00000225014
CCDC144CP ENSG00000154898
AKR1B1P3 ENSG00000213785
PROC ENSG00000115718
SOX6 ENSG00000110693
NPBWR2 ENSG00000277339
SEMA3A ENSG00000075213
UPF3AP2 ENSG00000214832
ACTG1P24 ENSG00000226359
LILRB3 ENSG00000277816
SPECC1 ENSG00000128487
MYOT ENSG00000120729
HPS6 ENSG00000166189
C6orf118 ENSG00000112539
WASF5P ENSG00000234980
USP8P1 ENSG00000229265
NRG2 ENSG00000158458
HLA-C ENSG00000237022
TEKT4P2 ENSG00000188681
UBE2V1P14 ENSG00000228134
MMS19 ENSG00000155229
DMAC2L ENSG00000125375
CCDC173 ENSG00000154479
CHL1 ENSG00000134121
ESCO1 ENSG00000141446
NIPA1 ENSG00000170113
KRTAP4-16 ENSG00000262520
MESTP1 ENSG00000220884
KRTAP4-9 ENSG00000262121
KRTAP4-11 ENSG00000263229
PRYP1 ENSG00000224166
KRTAP4-12 ENSG00000263236
ZDHHC20P2 ENSG00000231773
ACTG1P2 ENSG00000229129
LAMA2 ENSG00000196569
KRTAP29-1 ENSG00000262218
AFF2 ENSG00000155966
C10orf120 ENSG00000183559
SAPCD1-AS1 ENSG00000235663
CLIC1 ENSG00000213719
HLA-S ENSG00000237559
RDH10 ENSG00000121039
FAM13B ENSG00000031003
KRTAP9-10P ENSG00000263103
RPS12P20 ENSG00000244134
SPINK4 ENSG00000122711
CMYA5 ENSG00000164309
ARAP1 ENSG00000186635
IGHV2-70D ENSG00000211974
RPL7 ENSG00000147604
UTRN ENSG00000152818
IGHV3-69-1 ENSG00000282600
HLA-DOA ENSG00000206292
IGHV1-69-2 ENSG00000281990
BAG1 ENSG00000107262
NRM ENSG00000236843
CCNJL ENSG00000135083
RIOK1 ENSG00000124784
KRT18P54 ENSG00000250834
SIDT2 ENSG00000149577
KLF3 ENSG00000109787
TARS2P1 ENSG00000248104
SERPINA1 ENSG00000277377
RIDA ENSG00000132541
CTSF ENSG00000174080
LINC00613 ENSG00000248330
IFFO2 ENSG00000169991
ZNF302 ENSG00000089335
TERF1P3 ENSG00000249311
LINC02510 ENSG00000250341
USP37 ENSG00000135913
CTSA ENSG00000064601
KLF3-AS1 ENSG00000231160
VPS26B ENSG00000151502
LINC02511 ENSG00000248869
SERF1AP1 ENSG00000250813
TRPM3 ENSG00000083067
IGHV1-69D ENSG00000280411
PTBP3 ENSG00000119314
IGHV2-70 ENSG00000274576
LINC02438 ENSG00000248238
ALKBH8 ENSG00000137760
IGHV3-71 ENSG00000254056
RPL37P2 ENSG00000239559
IGHV3-72 ENSG00000225698
RDH10-AS1 ENSG00000250295
UNC93B5 ENSG00000184795
CLDN17 ENSG00000156282
OR7E108P ENSG00000270432
CCL2 ENSG00000108691
IGHV4-80 ENSG00000283906
IGHVIII-76-1 ENSG00000253310
IGHV3-73 ENSG00000211976
TAS2R2P ENSG00000203523
UBR4 ENSG00000127481
IGHV7-81 ENSG00000211979
IGHV3-74 ENSG00000224650
IGHV5-78 ENSG00000211978
IGHV3-79 ENSG00000275747
IGHV3-75 ENSG00000254176
IGHV3-76 ENSG00000253247
IGHVII-74-1 ENSG00000254134
IGHVII-78-1 ENSG00000253674
OR7E145P ENSG00000235855
OR7E11P ENSG00000254447
LINC02066 ENSG00000262411
LINC00307 ENSG00000227342
UBE2H ENSG00000186591
CLDN8 ENSG00000156284
LINC01455 ENSG00000250888
RPL8P2 ENSG00000225267
C11orf58 ENSG00000110696
LINC02064 ENSG00000248391
NCAPD3 ENSG00000151503
SLC35E4 ENSG00000100036
KIF1B ENSG00000054523
KRTAP24-1 ENSG00000188694
DUSP18 ENSG00000167065
NUP35P1 ENSG00000223928
KRTAP25-1 ENSG00000232263
HNRNPCP7 ENSG00000228653
ZNF680 ENSG00000173041
SVIL ENSG00000197321
SCIN ENSG00000006747
HLA-DPA1 ENSG00000206291
CCL7 ENSG00000108688
AIRE ENSG00000160224
TSKU ENSG00000182704
ASDURF ENSG00000286053
BNIP3P42 ENSG00000223974
MSH5 ENSG00000204410
POP1 ENSG00000104356
ASNSD1 ENSG00000138381
RPL32P1 ENSG00000233194
HLA-DPB1 ENSG00000215048
CDC42EP5 ENSG00000273633
CACYBPP3 ENSG00000219188
WDSUB1 ENSG00000196151
TMEM181 ENSG00000146433
HUWE1 ENSG00000086758
DHRSX ENSG00000169084
DNAJC11 ENSG00000007923
AFF2-IT1 ENSG00000223516
XKRY ENSG00000250868
USP9YP23 ENSG00000223555
HSPE1P28 ENSG00000230081
TATDN2P2 ENSG00000218226
LILRA6 ENSG00000275584
USP9YP27 ENSG00000235521
DNASE1L3 ENSG00000163687
TRAPPC2P3 ENSG00000224964
OFD1P1Y ENSG00000226011
NCR1 ENSG00000275156
NPY6R ENSG00000226306
FBH1 ENSG00000134452
SNRPD1 ENSG00000167088
DDB2 ENSG00000134574
LINC02065 ENSG00000248846
DHRSX-IT1 ENSG00000223571
PKD2L2 ENSG00000078795
ZBED1 ENSG00000214717
KRTAP26-1 ENSG00000197683
ST20-MTHFS ENSG00000259332
BMPR1AP1 ENSG00000219642
LINC02229 ENSG00000250313
MTHFS ENSG00000136371
SNX18P12 ENSG00000279718
GABRD ENSG00000187730
PPIAP78 ENSG00000234838
TMEM230 ENSG00000089063
UCMA ENSG00000165623
DIO2 ENSG00000211448
LINC01411 ENSG00000249306
GAPDHP71 ENSG00000213376
ANO9 ENSG00000185101
LDB1 ENSG00000198728
ST20-AS1 ENSG00000259642
DIO2-AS1 ENSG00000258766
NOC3L ENSG00000173145
FNDC11 ENSG00000125531
RAB26 ENSG00000167964
STMN1P2 ENSG00000251440
RPS23P2 ENSG00000213448
MTMR14 ENSG00000163719
FCAR ENSG00000276985
CCL11 ENSG00000172156
RPL5P22 ENSG00000239198
TLX3 ENSG00000164438
PNOC ENSG00000168081
VARS2 ENSG00000137411
ARF1P1 ENSG00000219807
CERS4 ENSG00000090661
CT47A8 ENSG00000230347
MIR122HG ENSG00000267391
CCL8 ENSG00000108700
RPL17P25 ENSG00000219547
LINC02724 ENSG00000181908
TLR10 ENSG00000174123
LINC02279 ENSG00000258933
CT47A7 ENSG00000228517
CRYGN ENSG00000127377
LAIR2 ENSG00000274084
NFRKB ENSG00000170322
KRTAP9-4 ENSG00000262512
SNHG4 ENSG00000281398
CT47A6 ENSG00000226023
PTP4A2P2 ENSG00000254481
JAM3 ENSG00000166086
PTCHD3P2 ENSG00000231550
KLHL23 ENSG00000213160
PRY ENSG00000169789
PGF ENSG00000119630
TAGLN ENSG00000149591
ZBTB12 ENSG00000234196
NYAP1 ENSG00000166924
THAP3 ENSG00000041988
CFB ENSG00000243570
RASGEF1C ENSG00000146090
ELOCP8 ENSG00000234131
RPSAP71 ENSG00000254256
MYO9B ENSG00000099331
RPL10P8 ENSG00000254012
DDX39BP1 ENSG00000225926
LRRC14B ENSG00000185028
TLR1 ENSG00000174125
PHOSPHO2 ENSG00000144362
PSMC1P5 ENSG00000250273
RPL3P2 ENSG00000237448
RPS4XP13 ENSG00000240371
DEFB129 ENSG00000125903
UBR7 ENSG00000012963
MCCD1P1 ENSG00000226940
PHLDA2 ENSG00000274538
CDK6 ENSG00000105810
RPL12P21 ENSG00000242683
MAN2C1 ENSG00000140400
TC2N ENSG00000276776
MATR3 ENSG00000015479
PAPSS1 ENSG00000138801
OR8J2 ENSG00000263150
OR5T2 ENSG00000262851
OR5T3 ENSG00000261897
GRAMD4P6 ENSG00000281718
CXADRP2 ENSG00000274439
DEFB132 ENSG00000186458
KIR3DX1 ENSG00000276848
KRTAP9-3 ENSG00000262749
KRTAP9-2 ENSG00000263090
KRTAP29-1 ENSG00000262542
KRTAP9-10P ENSG00000263115
VIL1 ENSG00000127831
TLR6 ENSG00000174130
MBD3L3 ENSG00000182315
BTBD7 ENSG00000277222
LINC01667 ENSG00000280081
RAD23A ENSG00000179262
ZC3HAV1L ENSG00000146858
GRAMD2A ENSG00000175318
PLCB2-AS1 ENSG00000259307
LINC00102 ENSG00000230542
DYNLT1 ENSG00000146425
CD99P1 ENSG00000223773
TBC1D19 ENSG00000109680
OR52B1P ENSG00000180909
OR56B3P ENSG00000180913
OR52B2 ENSG00000255307
NFATC2 ENSG00000101096
RNF146 ENSG00000118518
OR56B4 ENSG00000180919
ORC2 ENSG00000115942
OR52W1 ENSG00000175485
TMEM251 ENSG00000153485
PLTP ENSG00000100979
CABLES2 ENSG00000149679
SYTL3 ENSG00000164674
GON7 ENSG00000170270
LINC00968 ENSG00000246430
HOXA10-AS ENSG00000253187
KRTAP27-1 ENSG00000206107
C1QL2 ENSG00000144119
KRTAP23-1 ENSG00000186980
SPDYE6 ENSG00000260097
SSBP1 ENSG00000262771
KRTAP13-6P ENSG00000250973
SEPTIN10P1 ENSG00000253541
KRTAP13-2 ENSG00000182816
PENK ENSG00000181195
HNRNPLP1 ENSG00000233503
UBL5P1 ENSG00000248418
KRTAP13-1 ENSG00000198390
RFK ENSG00000135002
CLOCK ENSG00000134852
CDY13P ENSG00000224873
KRTAP13-3 ENSG00000240432
CT47A5 ENSG00000237957
USP9YP24 ENSG00000230814
CCDC127 ENSG00000164366
KRTAP13-4 ENSG00000186971
HSFY7P ENSG00000228571
OFD1P9Y ENSG00000230476
RBMY2BP ENSG00000224657
KRTAP13-5P ENSG00000233640
KRTAP15-1 ENSG00000186970
LINC00397 ENSG00000223404
HOXA10 ENSG00000253293
DQX1 ENSG00000144045
PDGFA ENSG00000197461
LINC02845 ENSG00000253644
TET1P1 ENSG00000232204
KRTAP19-1 ENSG00000184351
LINC00373 ENSG00000231019
CATSPERB ENSG00000274338
GABRA3 ENSG00000011677
GADD45GIP1 ENSG00000179271
RPL29P29 ENSG00000225289
SUMO2P6 ENSG00000249031
HPRT1P2 ENSG00000250587
KRTAP19-2 ENSG00000186965
LINC00433 ENSG00000229443
KRTAP19-3 ENSG00000244025
KRTAP9-7 ENSG00000262221
LINC00560 ENSG00000261666
GRPEL2P1 ENSG00000233211
RPL19P11 ENSG00000241668
USP19 ENSG00000172046
SAMD9 ENSG00000205413
KRTAP19-4 ENSG00000186967
AMBN ENSG00000178522
PDS5A ENSG00000121892
KRTAP19-5 ENSG00000186977
KRTAP19-9P ENSG00000237841
EXOSC7 ENSG00000075914
SERPING1 ENSG00000149131
CDH6 ENSG00000113361
RBMY2WP ENSG00000230727
TTTY17A ENSG00000228240
HNRNPA1P35 ENSG00000225695
NDUFB3 ENSG00000119013
C2 ENSG00000226560
TNS1 ENSG00000079308
OR5T1 ENSG00000262784
WNK1 ENSG00000060237
RPS27AP19 ENSG00000269228
HLA-DPA2 ENSG00000227286
RETN ENSG00000104918
CT47A4 ENSG00000230594
OR8H1 ENSG00000262611
PRKRIP1 ENSG00000128563
LINC01670 ENSG00000279094
ARMC2 ENSG00000118690
PTCHD3P1 ENSG00000274985
CKS1BP2 ENSG00000225976
SVIL-AS1 ENSG00000224597
PRSS21 ENSG00000007038
AMZ2P2 ENSG00000219249
CCL13 ENSG00000181374
COL11A2P1 ENSG00000228164
RPL23AP30 ENSG00000226658
FAM126B ENSG00000155744
POLR3GP1 ENSG00000281924
TPP2 ENSG00000134900
NANOGP7 ENSG00000276238
DUX4L51 ENSG00000250482
HOXA9 ENSG00000078399
FAM114A1 ENSG00000197712
KRTAP19-10P ENSG00000235312
KRTAP19-11P ENSG00000236612
KRTAP19-6 ENSG00000186925
KRTAP19-7 ENSG00000244362
KRTAP22-2 ENSG00000206106
HP1BP3 ENSG00000127483
RPSA ENSG00000168028
KRTAP6-3 ENSG00000212938
KRTAP6-2 ENSG00000186930
KRTAP22-1 ENSG00000186924
WEE2 ENSG00000263042
KRTAP6-1 ENSG00000184724
KRTAP20-1 ENSG00000244624
ZNF736P11Y ENSG00000215537
PCNA ENSG00000132646
ZDHHC3 ENSG00000163812
TTTY4 ENSG00000226906
PURA ENSG00000185129
AHRR ENSG00000063438
HLA-DPB2 ENSG00000234834
MALINC1 ENSG00000245146
FAM174A ENSG00000174132
HLA-DPA3 ENSG00000224929
PCMTD2 ENSG00000280663
ZC3HAV1 ENSG00000105939
KRTAP9-6 ENSG00000263263
