query	term	label	source	quality	action
Familial Hirschsprung Disease	http://www.orpha.net/ORDO/Orphanet_2150	Hirschsprung disease - type D brachydactyly	OLS API EFO lookup	fuzzy	check if valid
Familial Hypercholesterolaemia	http://www.ebi.ac.uk/efo/EFO_0004911	familial hypercholesterolemia	OLS API EFO lookup	fuzzy	check if valid
Familial IgA nephropathy and IgA vasculitis	http://www.ebi.ac.uk/efo/EFO_0004194	IGA glomerulonephritis	OLS API EFO lookup	fuzzy	check if valid
Familial Meniere Disease	http://www.ebi.ac.uk/efo/EFO_0006862	Meniere disease	OLS API EFO lookup	fuzzy	check if valid
Familial non-syndromic cleft lip and or familial cleft palate	http://www.orpha.net/ORDO/Orphanet_2003	Cleft lip/palate - deafness - sacral lipoma	OLS API EFO lookup	fuzzy	check if valid
Familial or syndromic hypoparathyroidism	http://purl.obolibrary.org/obo/MONDO_0007796	hypoparathyroidism, familial isolated	OLS API EFO lookup	fuzzy	check if valid
Familial primary spontaneous pneumothorax	http://www.orpha.net/ORDO/Orphanet_2903	Familial spontaneous pneumothorax	OLS API EFO lookup	fuzzy	check if valid
Familial pulmonary fibrosis	http://www.ebi.ac.uk/efo/EFO_0000768	idiopathic pulmonary fibrosis	OLS API EFO lookup	fuzzy	check if valid
Familial rhabdomyosarcoma or sarcoma	http://www.ebi.ac.uk/efo/EFO_0000437	embryonal rhabdomyosarcoma	OLS API EFO lookup	fuzzy	check if valid
Familial Thoracic Aortic Aneurysm Disease	http://www.orpha.net/ORDO/Orphanet_91387	Familial thoracic aortic aneurysm and aortic dissection	OLS API EFO lookup	fuzzy	check if valid
Familial tumour syndromes of the central and peripheral nervous system					
Familial tumour syndromes of the central & peripheral nervous system	http://www.ebi.ac.uk/efo/EFO_0002431	tumour of cranial and spinal nerves	OLS API EFO lookup	fuzzy	check if valid
Familial young-onset non-insulin-dependent diabetes	http://www.orpha.net/ORDO/Orphanet_93111	Renal cysts and diabetes syndrome	OLS API EFO lookup	fuzzy	check if valid
Fetal hydrops	http://purl.obolibrary.org/obo/MONDO_0015193	hydrops fetalis (disease)	OLS API EFO lookup	match	
Fetal structural CNS abnormalities	http://www.orpha.net/ORDO/Orphanet_994	Fetal akinesia deformation sequence	OLS API EFO lookup	fuzzy	check if valid
GAinS study					
Gastrointestinal epithelial barrier disorders	http://www.ebi.ac.uk/efo/EFO_0009692	voice disorders	OLS API EFO lookup	fuzzy	check if valid
Generalised pustular psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	psoriasis	OLS API EFO lookup	fuzzy	check if valid
Genetic Epilepsies with Febrile Seizures Plus	http://www.orpha.net/ORDO/Orphanet_36387	Generalized epilepsy with febrile seizures-plus	OLS API EFO lookup	fuzzy	check if valid
Genetic Epilepsies with Febrile Seizures Plus (GEFS+)	http://www.orpha.net/ORDO/Orphanet_36387	Generalized epilepsy with febrile seizures-plus	OLS API EFO lookup	fuzzy	check if valid
Genodermatoses with malignancies	http://www.ebi.ac.uk/efo/EFO_1001906	panic disorder with agoraphobia	OLS API EFO lookup	fuzzy	check if valid
Glaucoma (developmental)	http://www.orpha.net/ORDO/Orphanet_98976	Congenital glaucoma	OLS API EFO lookup	fuzzy	check if valid
GMS R104 Skeletal dysplasia	http://purl.obolibrary.org/obo/HP_0002652	Skeletal dysplasia	OLS API EFO lookup	fuzzy	check if valid
GMS R109 Childhood onset leukodystrophy	http://www.ebi.ac.uk/efo/EFO_0004591	childhood onset asthma	OLS API EFO lookup	fuzzy	check if valid
GMS R193 Cystic renal disease	http://www.orpha.net/ORDO/Orphanet_93587	Familial cystic renal disease	OLS API EFO lookup	fuzzy	check if valid
GMS R27 Congenital malformation and dysmorphism syndromes - likely monogenic	http://www.orpha.net/ORDO/Orphanet_75389	Brain malformation - congenital heart disease - postaxial polydactyly	OLS API EFO lookup	fuzzy	check if valid
GMS R29 Moderate, severe or profound intellectual disability	http://purl.obolibrary.org/obo/HP_0010864	Intellectual disability, severe	OLS API EFO lookup	fuzzy	check if valid
GMS R381 Other rare neuromuscular disorders	http://www.orpha.net/ORDO/Orphanet_2090	GMS syndrome	OLS API EFO lookup	fuzzy	check if valid
GMS R54 Hereditary ataxia with onset in adulthood	http://www.orpha.net/ORDO/Orphanet_1186	Infantile onset spinocerebellar ataxia	OLS API EFO lookup	fuzzy	check if valid
GMS R55 Hereditary ataxia with onset in childhood	http://www.orpha.net/ORDO/Orphanet_1186	Infantile onset spinocerebellar ataxia	OLS API EFO lookup	fuzzy	check if valid
GMS R61 Childhood onset hereditary spastic paraplegia	http://www.orpha.net/ORDO/Orphanet_100993	Autosomal dominant spastic paraplegia type 12	OLS API EFO lookup	fuzzy	check if valid
GMS R84 Cerebellar anomalies	http://www.orpha.net/ORDO/Orphanet_2090	GMS syndrome	OLS API EFO lookup	fuzzy	check if valid
GMS R86 Hydrocephalus	http://purl.obolibrary.org/obo/HP_0000238	Hydrocephalus	OLS API EFO lookup	fuzzy	check if valid
GMS R87 Cerebral malformation	http://purl.obolibrary.org/obo/MONDO_0016054	cerebral malformation	OLS API EFO lookup	fuzzy	check if valid
GMS R88 Severe microcephaly	http://www.orpha.net/ORDO/Orphanet_2090	GMS syndrome	OLS API EFO lookup	fuzzy	check if valid
GMS R89 Ultra-rare and atypical monogenic disorders	http://www.orpha.net/ORDO/Orphanet_199627	Atypical autism	OLS API EFO lookup	fuzzy	check if valid
GMS R98 Likely inborn error of metabolism - targeted testing not possible	http://purl.obolibrary.org/obo/MONDO_0020698	inborn error of biotin metabolism	OLS API EFO lookup	fuzzy	check if valid
Hereditary ataxia	http://www.ebi.ac.uk/efo/EFO_0009671	Hereditary ataxia	Zooma API lookup	match	
Hereditary erythrocytosis	http://www.orpha.net/ORDO/Orphanet_250165	Genetic polycythemia	OLS API EFO lookup	fuzzy	check if valid
Hereditary haemorrhagic telangiectasia	http://www.orpha.net/ORDO/Orphanet_774	Hereditary hemorrhagic telangiectasia	OLS API EFO lookup	fuzzy	check if valid
Hereditary spastic paraplegia	http://www.orpha.net/ORDO/Orphanet_685	hereditary spastic paraplegia	OT Zooma Mappings	match	
Holoprosencephaly	http://www.orpha.net/ORDO/Orphanet_2162	holoprosencephaly	OT Zooma Mappings	match	
Hydroa vacciniforme	http://purl.obolibrary.org/obo/HP_0032381	Hydroa vacciniforme	OLS API HP exact lookup	match	check if in OT
Hydrocephalus	http://purl.obolibrary.org/obo/HP_0000238	hydrocephalus	Zooma API lookup	match	
Hyperammonaemia	http://www.orpha.net/ORDO/Orphanet_137908	Hypotonia with lactic acidemia and hyperammonemia	OLS API EFO lookup	fuzzy	check if valid
Hyperinsulinism	http://purl.obolibrary.org/obo/MONDO_0002177	hyperinsulinism (disease)	OLS API EFO lookup	match	
Hypertrophic Cardiomyopathy	http://www.ebi.ac.uk/efo/EFO_0000538	hypertrophic cardiomyopathy	EFO OBO	match	
Hypoplastic Left Heart Syndrome	http://www.ebi.ac.uk/efo/EFO_0005938	hypoplastic left heart syndrome	Zooma API lookup	match	
Idiopathic hypogonadotropic hypogonadism	http://purl.obolibrary.org/obo/MONDO_0018555	hypogonadotropic hypogonadism	OLS API EFO lookup	fuzzy	check if valid
Idiopathic ventricular fibrillation	http://www.orpha.net/ORDO/Orphanet_228140	Idiopathic ventricular fibrillation, not Brugada type	OLS API EFO lookup	match	
Infantile enterocolitis and monogenic inflammatory bowel disease					
Infantile nystagmus	http://purl.obolibrary.org/obo/HP_0000639	Nystagmus	OLS API EFO lookup	fuzzy	check if valid
Inherited bleeding and or platelet disorders	http://purl.obolibrary.org/obo/MONDO_0014386	platelet-type bleeding disorder 18	OLS API EFO lookup	fuzzy	check if valid
Inherited complement deficiency	http://purl.obolibrary.org/obo/MONDO_0003832	complement deficiency	OLS API EFO lookup	fuzzy	check if valid
Inherited macular dystrophy	http://www.orpha.net/ORDO/Orphanet_75381	Cystoid macular dystrophy	OLS API EFO lookup	fuzzy	check if valid
Inherited non-medullary thyroid cancer	http://www.ebi.ac.uk/efo/EFO_1001957	hereditary thyroid gland medullary carcinoma	OLS API EFO lookup	fuzzy	check if valid
Inherited optic neuropathies					
Inherited white matter disorders	http://www.ebi.ac.uk/efo/EFO_0004641	white matter integrity	OLS API EFO lookup	fuzzy	check if valid
Insulin resistance (including lipodystrophy)	http://www.orpha.net/ORDO/Orphanet_181368	Rare insulin-resistance syndrome	OLS API EFO lookup	fuzzy	check if valid
Intellectual disability	http://purl.obolibrary.org/obo/HP_0001249	intellectual disability	OT Zooma Mappings	match	
intellectual-disability	http://purl.obolibrary.org/obo/HP_0001249	Intellectual disability	OLS API EFO lookup	fuzzy	check if valid
Intracerebral calcification disorders	http://purl.obolibrary.org/obo/HP_0002514	Cerebral calcification	OLS API EFO lookup	fuzzy	check if valid
Isomerism and laterality disorders					
IUGR and IGF abnormalities					
Joubert syndrome	http://www.orpha.net/ORDO/Orphanet_475	joubert syndrome	OT Zooma Mappings	match	
joubert-syndrome	http://www.orpha.net/ORDO/Orphanet_475	joubert syndrome	Zooma API lookup	match	
Juvenile dermatomyositis	http://www.ebi.ac.uk/efo/EFO_0000557	juvenile dermatomyositis	EFO OBO	match	
Kabuki syndrome	http://www.orpha.net/ORDO/Orphanet_2322	kabuki syndrome	OT Zooma Mappings	match	
Ketotic hypoglycaemia	http://purl.obolibrary.org/obo/MONDO_0018619	hyperinsulinemic hypoglycaemia	OLS API EFO lookup	fuzzy	check if valid
ketotic-hypoglycaemia	http://purl.obolibrary.org/obo/MONDO_0018619	hyperinsulinemic hypoglycaemia	OLS API EFO lookup	fuzzy	check if valid
Kleine-Levin syndrome	http://www.ebi.ac.uk/efo/EFO_1001354	Kleine-Levin Syndrome	OLS API EFO lookup	match	
Kleine-Levin syndrome and other inherited sleep disorders	http://www.orpha.net/ORDO/Orphanet_758	Pseudoxanthoma elasticum	OLS API EFO lookup	fuzzy	check if valid
Kyphoscoliotic Ehlers-Danlos syndrome	http://www.orpha.net/ORDO/Orphanet_536545	Kyphoscoliotic Ehlers-Danlos syndrome	OLS API ORDO exact lookup	match	check if in OT
Lactic acidosis	http://www.ebi.ac.uk/efo/EFO_1000036	lactic acidosis	EFO OBO	match	
Leber Congenital Amaurosis / Early-Onset Severe Retinal Dystrophy	http://www.orpha.net/ORDO/Orphanet_364055	Severe early-childhood-onset retinal dystrophy	OLS API EFO lookup	fuzzy	check if valid
Leber Congenital Amaurosis or Early-Onset Severe Retinal Dystrophy	http://www.orpha.net/ORDO/Orphanet_364055	Severe early-childhood-onset retinal dystrophy	OLS API EFO lookup	fuzzy	check if valid
Left Ventricular Noncompaction Cardiomyopathy	http://www.orpha.net/ORDO/Orphanet_54260	left ventricular noncompaction cardiomyopathy	Zooma API lookup	match	
Left Ventricular Outflow Tract obstruction disorders	http://www.ebi.ac.uk/efo/EFO_1001448	Ventricular Outflow Obstruction	OLS API EFO lookup	fuzzy	check if valid
Legius syndrome	http://www.orpha.net/ORDO/Orphanet_137605	legius syndrome	OT Zooma Mappings	match	
LEOPARD syndrome	http://www.orpha.net/ORDO/Orphanet_500	leopard syndrome	OT Zooma Mappings	match	
Limb girdle muscular dystrophy	http://www.orpha.net/ORDO/Orphanet_263	Limb-girdle muscular dystrophy	OLS API EFO lookup	match	
Lipoedema disease					
Long QT syndrome	http://purl.obolibrary.org/obo/HP_0001657	long qt syndrome	Zooma API lookup	match	
Lymphoedema distichiasis	http://www.orpha.net/ORDO/Orphanet_33001	Lymphedema - distichiasis	OLS API EFO lookup	fuzzy	check if valid
Malformations of cortical development	http://www.orpha.net/ORDO/Orphanet_280640	Occipital pachygyria and polymicrogyria	OLS API EFO lookup	fuzzy	check if valid
Meige disease	http://www.orpha.net/ORDO/Orphanet_90186	Meige disease	OLS API EFO lookup	match	
Milroy disease	http://www.orpha.net/ORDO/Orphanet_79452	Milroy disease	OLS API EFO lookup	match	
Mitochondrial disorders	http://www.ebi.ac.uk/efo/EFO_0009692	voice disorders	OLS API EFO lookup	fuzzy	check if valid
Monogenic venous thrombosis	http://purl.obolibrary.org/obo/HP_0004936	Venous thrombosis	OLS API EFO lookup	fuzzy	check if valid
Moyamoya disease	http://www.orpha.net/ORDO/Orphanet_2573	moyamoya disease	OT Zooma Mappings	match	
Mucopolysaccharideosis -  Gaucher -  Fabry	http://www.orpha.net/ORDO/Orphanet_324	Fabry disease	OLS API EFO lookup	fuzzy	check if valid
Mucopolysaccharideosis, Gaucher, Fabry					
Multi-organ autoimmune diabetes	http://www.ebi.ac.uk/efo/EFO_0009756	autoimmune type 1 diabetes	OLS API EFO lookup	fuzzy	check if valid
Multiple bowel polyps	http://purl.obolibrary.org/obo/MONDO_0000147	polyposis	OLS API EFO lookup	fuzzy	check if valid
Multiple endocrine tumours	http://www.orpha.net/ORDO/Orphanet_652	Multiple endocrine neoplasia type 1	OLS API EFO lookup	fuzzy	check if valid
Multiple Epiphyseal Dysplasia	http://www.orpha.net/ORDO/Orphanet_251	multiple epiphyseal dysplasia	OT Zooma Mappings	match	
